,product,uf,volume,year_month,unit
222,GASOLINA C (m3),TOCANTINS,16145.628443393314,2008-01-01,m3
223,GASOLINA C (m3),MARANHÃO,29931.872440781357,2008-01-01,m3
224,GASOLINA C (m3),PIAUÍ,23179.322639448692,2008-01-01,m3
225,GASOLINA C (m3),CEARÁ,56794.58548233782,2008-01-01,m3
226,GASOLINA C (m3),RIO GRANDE DO NORTE,25197.571033336575,2008-01-01,m3
227,GASOLINA C (m3),PARAÍBA,28727.566384969115,2008-01-01,m3
228,GASOLINA C (m3),PERNAMBUCO,51922.52062983462,2008-01-01,m3
229,GASOLINA C (m3),ALAGOAS,12937.890830377308,2008-01-01,m3
230,GASOLINA C (m3),SERGIPE,15680.798153347017,2008-01-01,m3
231,GASOLINA C (m3),BAHIA,84353.34114208109,2008-01-01,m3
232,GASOLINA C (m3),MINAS GERAIS,220922.63800648224,2008-01-01,m3
233,GASOLINA C (m3),ESPÍRITO SANTO,42775.82385112877,2008-01-01,m3
234,GASOLINA C (m3),RIO DE JANEIRO,1616429.481431352,2008-01-01,m3
235,GASOLINA C (m3),SÃO PAULO,651891.7201692279,2008-01-01,m3
236,GASOLINA C (m3),PARANÁ,135470.91169144426,2008-01-01,m3
237,GASOLINA C (m3),SANTA CATARINA,118521.18186022907,2008-01-01,m3
238,GASOLINA C (m3),RIO GRANDE DO SUL,179735.0662696258,2008-01-01,m3
239,GASOLINA C (m3),MATO GROSSO DO SUL,30157.91680634374,2008-01-01,m3
240,GASOLINA C (m3),MATO GROSSO,29426.325908953753,2008-01-01,m3
241,GASOLINA C (m3),GOIÁS,74168.74378464842,2008-01-01,m3
242,GASOLINA C (m3),DISTRITO FEDERAL,65839.77465187074,2008-01-01,m3
243,GASOLINA C (m3),RONDÔNIA,18366.432999999997,2009-01-01,m3
244,GASOLINA C (m3),ACRE,5691.027790486321,2009-01-01,m3
245,GASOLINA C (m3),AMAZONAS,28728.170684500954,2009-01-01,m3
246,GASOLINA C (m3),RORAIMA,5403.27418636962,2009-01-01,m3
247,GASOLINA C (m3),PARÁ,585376.6604745579,2009-01-01,m3
248,GASOLINA C (m3),AMAPÁ,8394.0,2009-01-01,m3
249,GASOLINA C (m3),TOCANTINS,14567.16,2009-01-01,m3
250,GASOLINA C (m3),MARANHÃO,36721.2,2009-01-01,m3
